UpdatedTime,c1000,c500
2023060101,0.065985350869596,0.06435224320739508
2023060102,0.07257542386651039,0.07053636107593775
2023060103,0.06282748701050878,0.059402596205472946
2023060104,0.05409426102414727,0.05757313873618841
2023060105,0.054621275048702955,0.0460320096462965
2023060106,0.028998826164752245,0.04214443080127239
2023060107,0.022781788371503353,0.03701002337038517
2023060108,0.025129438377916813,0.02336303424090147
2023060109,0.027325516566634178,0.032937707379460335
2023060110,0.018289050552994013,0.04416241217404604
2023060111,0.054041721392422915,0.058657167479395866
2023060112,0.07109766872599721,0.0732832346111536
2023060113,0.08002863614819944,0.10403043124824762
2023060114,0.09115883358754218,0.10087811294943094
2023060115,0.06746282381936908,0.11375144775956869
2023060116,0.04565954115241766,0.12393047288060188
2023060117,0.057678400073200464,0.13149223290383816
2023060118,0.06562889460474253,0.12606284394860268
2023060119,0.06122253555804491,0.12443436216562986
2023060120,0.04924908000975847,0.09540085308253765
2023060121,0.06377758784219623,0.05946116987615824
2023060122,0.04970667511224747,0.07671477273106575
2023060123,0.042368320282548666,0.06469351472333074
2023060200,0.02132429415360093,0.05833943095058203
2023060201,0.031270955223590136,0.04838131181895733
2023060202,0.0303348321467638,0.051001629792153835
2023060203,0.040125652216374874,0.05838984251022339
2023060204,0.037999183405190706,0.07162508647888899
2023060205,0.03878006199374795,0.06748743169009686
2023060206,0.053747964557260275,0.05816515535116196
2023060207,0.03657617140561342,0.07272284151986241
2023060208,0.04540359694510698,0.05324205011129379
2023060209,0.040321003179997206,0.06495578400790691
2023060210,0.041241666534915566,0.06373369693756104
2023060211,0.0493596401065588,0.04843358788639307
2023060212,0.028373063541948795,0.054538605734705925
2023060213,0.06459488021209836,0.0687706908211112
2023060214,0.0361497444100678,0.09124309103935957
2023060215,0.055132909677922726,0.11754359025508165
2023060216,0.060791769064962864,0.12266614194959402
2023060217,0.05265322653576732,0.08642178494483232
2023060218,0.05153300892561674,0.10922077670693398
2023060219,0.06203620880842209,0.10084317903965712
2023060220,0.06347309425473213,0.08792112302035093
2023060221,0.04818162973970175,0.06465043034404516
2023060222,0.04236562456935644,0.061573686078190804
2023060223,0.037090706173330545,0.06164610479027033
2023060300,0.03125832648947835,0.06074510142207146
2023060301,0.03514270158484578,0.04264562390744686
2023060302,0.02927233185619116,0.028751562349498272
