time,icao24,callsign,baroaltitude,velocity,vertrate,lat,lon
1734039048,01010c,MSR795  ,2072.6400000000003,115.52904999430555,-6.502400000000001,38.40953063964844,-9.000724630152888
1734039049,01010c,MSR795  ,2065.02,115.52904999430555,-6.1772800000000005,38.40946003542108,-9.001922607421875
1734039050,01010c,MSR795  ,2065.02,116.04219242615514,-6.1772800000000005,38.409393310546875,-9.003120584690805
1734039051,01010c,MSR795  ,2057.4,116.04219242615514,-6.1772800000000005,38.409320378707626,-9.004430356233001
1734039052,01010c,MSR795  ,2049.78,116.04219242615514,-6.1772800000000005,38.40925598144531,-9.005633415059833
1734039053,01010c,MSR795  ,2042.16,116.04219242615514,-6.1772800000000005,38.40918072199417,-9.007356063179316
1734039054,01010c,MSR795  ,2034.5400000000002,116.04219242615514,-5.8521600000000005,38.40908761751854,-9.008669645889938
1734039055,01010c,MSR795  ,2026.92,116.00683683113509,-5.8521600000000005,38.40904106528072,-9.010102645210566
1734039056,01010c,MSR795  ,2026.92,116.00683683113509,-5.8521600000000005,38.40898132324219,-9.011301892868971
1734039057,01010c,MSR795  ,2019.3000000000002,116.00683683113509,-5.8521600000000005,38.40890140856727,-9.012490977411687
1734039058,01010c,MSR795  ,2011.68,116.00683683113509,-6.1772800000000005,38.40880830409163,-9.013804560122253
1734039059,01010c,MSR795  ,2004.0600000000002,116.00683683113509,-6.1772800000000005,38.40875244140625,-9.015392546958083
1734039060,01010c,MSR795  ,2004.0600000000002,116.00683683113509,-6.1772800000000005,38.40866864737818,-9.016610850458562
1734039061,01010c,MSR795  ,1996.44,116.00683683113509,-6.1772800000000005,38.40861511230469,-9.017788501496
1734039062,01010c,MSR795  ,1988.8200000000002,116.04219242615514,-6.1772800000000005,38.40852899066472,-9.018999182659627
1734039063,01010c,MSR795  ,1981.2,116.04219242615514,-6.1772800000000005,38.40848243842691,-9.020432181980311
1734039064,01010c,MSR795  ,1981.2,116.04219242615514,-6.1772800000000005,38.40838933395127,-9.02150693147081
1734039065,01010c,MSR795  ,1973.5800000000002,116.04219242615514,-5.8521600000000005,38.40834278171345,-9.022820514181376
1734039066,01010c,MSR795  ,1965.96,116.04219242615514,-5.8521600000000005,38.40824967723782,-9.02425351350206
1734039067,01010c,MSR795  ,1958.3400000000001,116.04219242615514,-5.8521600000000005,38.408203125,-9.025626804517685
1734039068,01010c,MSR795  ,1950.72,116.04219242615514,-5.8521600000000005,38.408111572265625,-9.026787940492
1734039069,01010c,MSR795  ,1950.72,116.04219242615514,-5.8521600000000005,38.40806579589844,-9.028132012549861
1734039070,01010c,MSR795  ,1935.48,116.04219242615514,-5.8521600000000005,38.40797424316406,-9.029417646692139
1734039071,01010c,MSR795  ,1935.48,116.00683683113509,-5.8521600000000005,38.40787725933527,-9.03129909349525
1734039072,01010c,MSR795  ,1927.8600000000001,116.00683683113509,-5.8521600000000005,38.4078369140625,-9.032514856216721
1734039073,01010c,MSR795  ,1920.24,115.94294133035433,-6.1772800000000005,38.4078369140625,-9.033566738696777
1734039074,01010c,MSR795  ,1920.24,115.82304225962424,-6.502400000000001,38.40779113769531,-9.034852372839055
1734039075,01010c,MSR795  ,1912.6200000000001,115.7601884227571,-6.827520000000001,38.40783070709745,-9.03619517450744
1734039076,01010c,MSR795  ,1897.38,115.75447274523151,-6.827520000000001,38.40787725933527,-9.038046131963313
1734039077,01010c,MSR795  ,1897.38,115.82304225962424,-6.827520000000001,38.40792381157309,-9.039120881453812
1734039078,01010c,MSR795  ,1889.76,116.00683683113509,-6.827520000000001,38.40806346828654,-9.04055388077444
1734039079,01010c,MSR795  ,1882.14,115.84132060858458,-6.502400000000001,38.408203125,-9.041748046875
1734039080,01010c,MSR795  ,1874.52,116.33375046016369,-6.502400000000001,38.40838933395127,-9.043181046195627
1734039081,01010c,MSR795  ,1866.9,115.95549501103638,-6.1772800000000005,38.40866864737818,-9.044614045516312
1734039082,01010c,MSR795  ,1859.2800000000002,115.95549501103638,-6.1772800000000005,38.40894796080509,-9.045927628226877
1734039083,01010c,MSR795  ,1859.2800000000002,116.28824270304455,-5.8521600000000005,38.409210205078125,-9.047065897190805
1734039084,01010c,MSR795  ,1851.66,116.3883362812879,-5.20192,38.409576416015625,-9.048293093417556
1734039085,01010c,MSR795  ,1851.66,116.15503016810456,-4.8768,38.409832453323624,-9.049032460088313
1734039086,01010c,MSR795  ,1844.0400000000002,116.15503016810456,-4.8768,38.4102979757018,-9.050525167714
1734039087,01010c,MSR795  ,1836.42,116.20969993744846,-4.55168,38.410675048828125,-9.05162405460436
1734039088,01010c,MSR795  ,1836.42,116.3883362812879,-4.55168,38.41122902045816,-9.05321204144019
1734039089,01010c,MSR795  ,1828.8000000000002,116.06385666098815,-4.8768,38.41168212890625,-9.054429074551194
1734039090,01010c,MSR795  ,1821.18,116.23474832163058,-4.8768,38.41216006521451,-9.055719790251374
1734039091,01010c,MSR795  ,1821.18,116.20628383036953,-4.8768,38.41259765625,-9.056794539741848
1734039092,01010c,MSR795  ,1813.5600000000002,116.20628383036953,-5.20192,38.413055419921875,-9.057988705842376
1734039093,01010c,MSR795  ,1805.94,115.9646241070421,-5.20192,38.41346740722656,-9.059063455332875
1734039094,01010c,MSR795  ,1805.94,115.95435382349964,-5.52704,38.41392517089844,-9.060257621433436
1734039095,01010c,MSR795  ,1798.3200000000002,115.95435382349964,-5.52704,38.41434802039195,-9.061279296875
1734039096,01010c,MSR795  ,1790.7,115.72360320842016,-5.8521600000000005,38.414794921875,-9.062347412109375
1734039097,01010c,MSR795  ,1790.7,115.72360320842016,-5.8521600000000005,38.415279065148304,-9.06353759765625
1734039098,01010c,MSR795  ,1783.0800000000002,115.72360320842016,-5.8521600000000005,38.41574458752648,-9.06475830078125
1734039099,01010c,MSR795  ,1775.46,115.72360320842016,-5.8521600000000005,38.416168212890625,-9.065810493800939
1734039100,01010c,MSR795  ,1767.8400000000001,115.72360320842016,-6.1772800000000005,38.41667175292969,-9.067124076511561
1734039101,01010c,MSR795  ,1760.22,115.72360320842016,-6.1772800000000005,38.41728081137447,-9.068603515625
1734039102,01010c,MSR795  ,1752.6000000000001,115.72360320842016,-6.1772800000000005,38.417792885990465,-9.0699462890625
1734039103,01010c,MSR795  ,1752.6000000000001,115.72360320842016,-6.1772800000000005,38.41822814941406,-9.071005116338313
1734039104,01010c,MSR795  ,1744.98,115.95549501103638,-6.1772800000000005,38.41850280761719,-9.071721615998626
1734039105,01010c,MSR795  ,1737.3600000000001,115.72360320842016,-6.1772800000000005,38.41914367675781,-9.073393448539377
1734039106,01010c,MSR795  ,1737.3600000000001,115.72360320842016,-6.1772800000000005,38.41937566207627,-9.073974609375
1734039107,01010c,MSR795  ,1729.74,115.72360320842016,-5.8521600000000005,38.41996765136719,-9.075363822605311
1734039108,01010c,MSR795  ,1722.1200000000001,115.72360320842016,-5.8521600000000005,38.420539468021715,-9.076904296875
1734039109,01010c,MSR795  ,1714.5,115.72360320842016,-5.52704,38.420865333686436,-9.07763671875
1734039110,01010c,MSR795  ,1706.88,115.72360320842016,-5.52704,38.4215636172537,-9.07940673828125
1734039111,01010c,MSR795  ,1699.26,115.72360320842016,-5.52704,38.42198181152344,-9.080498736837626
1734039112,01010c,MSR795  ,1699.26,116.18350721630709,-5.20192,38.42243957519531,-9.081692902938187
1734039113,01010c,MSR795  ,1691.64,116.18350721630709,-5.20192,38.42268087096134,-9.082275390625
1734039114,01010c,MSR795  ,1684.02,116.18350721630709,-5.20192,38.423286050052965,-9.08380126953125
1734039115,01010c,MSR795  ,1684.02,116.18350721630709,-5.52704,38.423858642578125,-9.085335109544815
1734039116,01010c,MSR795  ,1676.4,115.95435382349964,-5.52704,38.42412399033368,-9.0859375
1734039117,01010c,MSR795  ,1668.78,115.95435382349964,-5.52704,38.42463684082031,-9.08724577530569
1734039118,01010c,MSR795  ,1661.16,115.95435382349964,-5.52704,38.425140380859375,-9.088559358016312
1734039119,01010c,MSR795  ,1661.16,115.95435382349964,-5.8521600000000005,38.42556710970604,-9.089599609375
1734039120,01010c,MSR795  ,1653.5400000000002,115.95435382349964,-6.1772800000000005,38.42596435546875,-9.090708856997253
1734039121,01010c,MSR795  ,1645.92,115.95435382349964,-6.1772800000000005,38.42646789550781,-9.092022439707875
1734039122,01010c,MSR795  ,1638.3000000000002,115.95435382349964,-6.502400000000001,38.42692565917969,-9.093156897503377
1734039123,01010c,MSR795  ,1638.3000000000002,115.72703356358566,-6.502400000000001,38.42747497558594,-9.094589896824061
1734039124,01010c,MSR795  ,1630.68,115.72703356358566,-6.502400000000001,38.42793273925781,-9.095784062924565
1734039125,01010c,MSR795  ,1623.0600000000002,115.72703356358566,-6.502400000000001,38.42840679621292,-9.09698486328125
1734039126,01010c,MSR795  ,1615.44,115.72703356358566,-6.1772800000000005,38.4288723185911,-9.09820556640625
1734039127,01010c,MSR795  ,1607.8200000000002,116.18920178840787,-6.1772800000000005,38.429337840969275,-9.099365234375
1734039128,01010c,MSR795  ,1600.2,116.18920178840787,-6.1772800000000005,38.429718017578125,-9.10044131071669
1734039129,01010c,MSR795  ,1592.5800000000002,116.18920178840787,-5.8521600000000005,38.43022155761719,-9.101754893427312
1734039130,01010c,MSR795  ,1592.5800000000002,116.18920178840787,-5.8521600000000005,38.43064130362818,-9.10284423828125
1734039131,01010c,MSR795  ,1584.96,116.18920178840787,-5.8521600000000005,38.43101372153072,-9.10382080078125
1734039132,01010c,MSR795  ,1577.3400000000001,116.18920178840787,-5.52704,38.43150329589844,-9.105098558508814
1734039133,01010c,MSR795  ,1577.3400000000001,116.18920178840787,-5.52704,38.431991318524894,-9.1063232421875
1734039134,01010c,MSR795  ,1569.72,116.18920178840787,-5.20192,38.43241882324219,-9.107367474099874
1734039135,01010c,MSR795  ,1562.1000000000001,116.18920178840787,-5.20192,38.43287658691406,-9.108561640200378
1734039136,01010c,MSR795  ,1562.1000000000001,116.18920178840787,-5.20192,38.433380126953125,-9.109875222911
1734039137,01010c,MSR795  ,1554.48,116.18920178840787,-4.8768,38.433837890625,-9.111069389011561
1734039138,01010c,MSR795  ,1546.8600000000001,115.72703356358566,-4.8768,38.434039616988876,-9.1116943359375
1734039139,01010c,MSR795  ,1539.24,115.72703356358566,-5.20192,38.43475341796875,-9.113457721212626
1734039140,01010c,MSR795  ,1539.24,115.72703356358566,-5.20192,38.43525695800781,-9.114771303923249
1734039141,01010c,MSR795  ,1531.6200000000001,115.72703356358566,-5.20192,38.4356689453125,-9.1158447265625
1734039142,01010c,MSR795  ,1524.0,115.72703356358566,-5.52704,38.43622757216631,-9.11724853515625
1734039143,01010c,MSR795  ,1524.0,115.72703356358566,-5.52704,38.43650688559322,-9.11810302734375
