time,icao24,callsign,baroaltitude,velocity,vertrate,lat,lon
1735161000,440daf,EJU91EZ ,3535.6800000000003,198.93556796890303,-22.7584,38.93321926310911,-9.128173828125
1735161001,440daf,EJU91EZ ,3512.82,198.93556796890303,-22.43328,38.93165588378906,-9.129041588824748
1735161002,440daf,EJU91EZ ,3497.5800000000004,198.93556796890303,-22.10816,38.92963474079714,-9.130126953125
1735161003,440daf,EJU91EZ ,3467.1000000000004,198.4620673675308,-21.78304,38.9279588602357,-9.13104248046875
1735161004,440daf,EJU91EZ ,3444.2400000000002,198.4620673675308,-21.78304,38.92698126324152,-9.131591796875
1735161005,440daf,EJU91EZ ,3429.0,198.4620673675308,-21.78304,38.9253519349179,-9.1324462890625
1735161006,440daf,EJU91EZ ,3398.52,197.7874946207848,-22.10816,38.92359924316406,-9.13340029509169
1735161007,440daf,EJU91EZ ,3383.28,197.7874946207848,-22.43328,38.92190706931938,-9.13433837890625
1735161008,440daf,EJU91EZ ,3360.42,197.7874946207848,-22.7584,38.920166015625,-9.135251252547562
1735161009,440daf,EJU91EZ ,3337.56,197.31392150471245,-23.08352,38.91838073730469,-9.136266293733001
1735161010,440daf,EJU91EZ ,3314.7000000000003,197.31392150471245,-23.408640000000002,38.91673278808594,-9.137161918308436
1735161011,440daf,EJU91EZ ,3291.84,197.31392150471245,-23.408640000000002,38.915203547073624,-9.13800048828125
1735161012,440daf,EJU91EZ ,3261.36,196.84055353515683,-23.408640000000002,38.91357421875,-9.13885498046875
1735161013,440daf,EJU91EZ ,3238.5,196.84055353515683,-23.408640000000002,38.912131099377646,-9.1396484375
1735161014,440daf,EJU91EZ ,3223.26,196.84055353515683,-22.43328,38.91041564941406,-9.140625
1735161015,440daf,EJU91EZ ,3200.4,196.6394476698795,-21.45792,38.90895080566406,-9.141401207965373
1735161016,440daf,EJU91EZ ,3177.54,196.16580125402254,-19.832320000000003,38.907243114406775,-9.142333984375
1735161017,440daf,EJU91EZ ,3154.6800000000003,196.16580125402254,-19.182080000000003,38.90575344279661,-9.14312744140625
1735161018,440daf,EJU91EZ ,3139.44,196.16580125402254,-17.881600000000002,38.904124114472985,-9.14398193359375
1735161019,440daf,EJU91EZ ,3116.5800000000004,195.9653534448865,-16.90624,38.90235512943591,-9.14495849609375
1735161020,440daf,EJU91EZ ,3101.34,195.49142758124958,-15.60576,38.90016174316406,-9.1461181640625
1735161021,440daf,EJU91EZ ,3093.7200000000003,195.49142758124958,-14.305280000000002,38.89928268173993,-9.1466064453125
1735161022,440daf,EJU91EZ ,3078.48,194.81743644857295,-13.004800000000001,38.89686196537341,-9.14788818359375
1735161023,440daf,EJU91EZ ,3063.2400000000002,194.34343483093522,-12.029440000000001,38.896070577330505,-9.1483154296875
1735161024,440daf,EJU91EZ ,3048.0,193.66954810785202,-11.05408,38.89439392089844,-9.149222995923935
1735161025,440daf,EJU91EZ ,3040.38,193.19546990628004,-10.72896,38.892791748046875,-9.150118620499313
1735161026,440daf,EJU91EZ ,3032.76,192.52168893529063,-10.07872,38.891089487884,-9.1510009765625
1735161027,440daf,EJU91EZ ,3017.52,192.04753330626795,-9.7536,38.8895067117982,-9.15185546875
1735161028,440daf,EJU91EZ ,3009.9,191.37385945574007,-9.7536,38.887784278998936,-9.15277099609375
1735161029,440daf,EJU91EZ ,3002.28,190.22606020670585,-9.7536,38.88629150390625,-9.153581702190877
1735161030,440daf,EJU91EZ ,2987.04,189.75174713641945,-9.7536,38.884944592492054,-9.154296875
1735161031,440daf,EJU91EZ ,2979.42,189.0782917387307,-9.42848,38.88261698060116,-9.15557861328125
1735161032,440daf,EJU91EZ ,2971.8,188.60389862596026,-9.42848,38.88111877441406,-9.156328284222127
1735161033,440daf,EJU91EZ ,2964.1800000000003,187.93055461579203,-9.42848,38.88028936871027,-9.15679931640625
1735161034,440daf,EJU91EZ ,2948.94,186.98181789853368,-9.42848,38.87864685058594,-9.157701575237752
1735161035,440daf,EJU91EZ ,2941.32,186.30829350021222,-9.10336,38.876891055349574,-9.15863037109375
1735161036,440daf,EJU91EZ ,2933.7000000000003,185.83394986742198,-9.10336,38.875396728515625,-9.159373407778503
1735161037,440daf,EJU91EZ ,2926.08,185.16053802423215,-8.77824,38.8740234375,-9.160149615743876
1735161038,440daf,EJU91EZ ,2910.84,184.6861124944319,-8.77824,38.87260824947034,-9.160888671875
1735161039,440daf,EJU91EZ ,2903.2200000000003,183.5383063547655,-8.45312,38.87032718981727,-9.162109375
1735161040,440daf,EJU91EZ ,2895.6000000000004,183.0640137280766,-8.45312,38.868790965969275,-9.1629638671875
1735161041,440daf,EJU91EZ ,2887.98,182.39053203808834,-8.45312,38.86730129435911,-9.16375732421875
1735161042,440daf,EJU91EZ ,2880.36,181.91615654006964,-8.128,38.86647033691406,-9.164209780485749
1735161043,440daf,EJU91EZ ,2872.7400000000002,181.24279014898622,-8.128,38.86520644365731,-9.16485595703125
